-- v TEXTURE
203.40, 25.72, 205.10, 26.67, 206.45, 28.02, 207.45, 29.77
207.45, 29.77, 208.45, 31.52, 208.95, 33.62, 208.95, 36.05
208.95, 36.05, 208.95, 38.42, 208.46, 40.53, 207.48, 42.40
207.48, 42.40, 206.49, 44.27, 205.10, 45.73, 203.30, 46.80
203.30, 46.80, 201.50, 47.87, 199.33, 48.40, 196.80, 48.40
196.80, 48.40, 195.80, 48.40, 194.68, 48.27, 193.45, 48.00
193.45, 48.00, 192.22, 47.73, 191.01, 47.26, 189.83, 46.58
189.83, 46.58, 188.64, 45.89, 187.62, 44.93, 186.75, 43.70
186.75, 43.70, 185.88, 42.47, 185.32, 40.88, 185.05, 38.95
185.05, 38.95, 185.05, 38.95, 189.50, 38.95, 189.50, 38.95
189.50, 38.95, 190.50, 42.68, 192.93, 44.55, 196.80, 44.55
196.80, 44.55, 199.33, 44.55, 201.24, 43.78, 202.53, 42.23
202.53, 42.23, 203.81, 40.68, 204.45, 38.68, 204.45, 36.25
204.45, 36.25, 204.45, 33.82, 203.84, 31.83, 202.63, 30.30
202.63, 30.30, 201.41, 28.77, 199.52, 28.00, 196.95, 28.00
196.95, 28.00, 195.55, 28.00, 194.31, 28.27, 193.23, 28.82
193.23, 28.82, 192.14, 29.37, 191.13, 30.27, 190.20, 31.50
190.20, 31.50, 190.20, 31.50, 186.20, 31.50, 186.20, 31.50
186.20, 31.50, 186.20, 31.50, 188.80, 12.55, 188.80, 12.55
-- 6 TEXTURE
239.65, 20.75, 239.65, 20.75, 235.30, 20.75, 235.30, 20.75
235.30, 20.75, 234.97, 19.22, 234.36, 17.95, 233.48, 16.95
233.48, 16.95, 232.59, 15.95, 231.25, 15.45, 229.45, 15.45
229.45, 15.45, 226.82, 15.45, 224.78, 16.72, 223.33, 19.27
223.33, 19.27, 221.88, 21.82, 221.15, 25.33, 221.15, 29.80
221.15, 29.80, 221.92, 28.43, 223.08, 27.32, 224.63, 26.45
224.63, 26.45, 226.18, 25.58, 227.93, 25.15, 229.90, 25.15
229.90, 25.15, 232.13, 25.15, 234.03, 25.67, 235.58, 26.72
235.58, 26.72, 237.13, 27.77, 238.31, 29.15, 239.13, 30.85
239.13, 30.85, 239.94, 32.55, 240.35, 34.38, 240.35, 36.35
240.35, 36.35, 240.35, 38.45, 239.92, 40.42, 239.05, 42.25
239.05, 42.25, 238.18, 44.08, 236.90, 45.57, 235.20, 46.70
235.20, 46.70, 233.50, 47.83, 231.42, 48.40, 228.95, 48.40
228.95, 48.40, 226.65, 48.40, 224.73, 47.93, 223.18, 46.98
223.18, 46.98, 221.63, 46.03, 220.38, 44.73, 219.45, 43.08
219.45, 43.08, 218.52, 41.43, 217.85, 39.55, 217.45, 37.45
217.45, 37.45, 217.05, 35.35, 216.85, 33.13, 216.85, 30.80
216.85, 30.80, 216.85, 24.77, 217.97, 20.08, 220.20, 16.75
220.20, 16.75, 222.43, 13.42, 225.62, 11.75, 229.75, 11.75
229.75, 11.75, 232.45, 11.75, 234.66, 12.53, 236.38, 14.10
236.38, 14.10, 238.09, 15.67, 239.18, 17.88, 239.65, 20.75
228.90, 28.85, 227.50, 28.85, 226.25, 29.20, 225.15, 29.90
225.15, 29.90, 224.05, 30.60, 223.18, 31.54, 222.55, 32.73
222.55, 32.73, 221.92, 33.91, 221.60, 35.25, 221.60, 36.75
221.60, 36.75, 221.60, 38.25, 221.92, 39.60, 222.55, 40.80
222.55, 40.80, 223.18, 42.00, 224.05, 42.95, 225.15, 43.65
225.15, 43.65, 226.25, 44.35, 227.50, 44.70, 228.90, 44.70
228.90, 44.70, 231.10, 44.70, 232.82, 43.93, 234.05, 42.40
234.05, 42.40, 235.28, 40.87, 235.90, 38.98, 235.90, 36.75
